title,authors,abstract,categories,created
"Dancing in Chains: Reconciling Instruction Following and Faithfulness in
  Language Models",,"Modern language models (LMs) need to follow human instructions while being
faithful; yet, they often fail to achieve both. Here, we provide concrete
evidence of a trade-off between instruction following (i.e., follow open-ended
instructions) and faithfulness (i.e., ground responses in given context) when
training LMs with these objectives. For instance, fine-tuning LLaMA-7B on
instruction following datasets renders it less faithful. Conversely,
instruction-tuned Vicuna-7B shows degraded performance at following
instructions when further optimized on tasks that require contextual grounding.
One common remedy is multi-task learning (MTL) with data mixing, yet it remains
far from achieving a synergic outcome. We propose a simple yet effective method
that relies on Rejection Sampling for Continued Self-instruction Tuning
(ReSet), which significantly outperforms vanilla MTL. Surprisingly, we find
that less is more, as training ReSet with high-quality, yet substantially
smaller data (three-fold less) yields superior results. Our findings offer a
better understanding of objective discrepancies in alignment training of LMs.",cs.CL,2024-07-31
"FTuner: A Fast Dynamic Shape Tensors Program Auto-Tuner for Deep
  Learning Compilers",,"Many artificial intelligence models process input data of different lengths
and resolutions, making the shape of the tensors dynamic. The performance of
these models depends on the shape of the tensors, which makes it difficult to
optimize the tensors before the model runs. There are two common solutions to
this problem. The first is to add useless data to the input to match a
pre-optimized tensor library. The second is to use small basic tensors to
create a tensor that is closest in size to the input data and then tune it to
minimize padding. However, this second solution can be time-consuming.
  This paper proposes a new technique for deep learning compilers called
FTuner. Instead of using a large design space or training a cost model, we use
an abstract computational unit called the uKernel to patch together small,
various-sized tensors to match the shape of the input tensor. We determine the
shape of the uKernel using an analytic hardware information model. Experiments
show that the FTuner can achieve comparable operators and end-to-end
performance to vendor libraries and achieves 3\% speedup on existing auto-tuner
with the model-training compiler while reducing tuning time by two orders of
magnitude.",cs.LG cs.DC,2024-07-31
Generalized Tampered Scene Text Detection in the era of Generative AI,,"The rapid advancements of generative AI have fueled the potential of
generative text image editing while simultaneously escalating the threat of
misinformation spreading. However, existing forensics methods struggle to
detect unseen forgery types that they have not been trained on, leaving the
development of a model capable of generalized detection of tampered scene text
as an unresolved issue. To tackle this, we propose a novel task: open-set
tampered scene text detection, which evaluates forensics models on their
ability to identify both seen and previously unseen forgery types. We have
curated a comprehensive, high-quality dataset, featuring the texts tampered by
eight text editing models, to thoroughly assess the open-set generalization
capabilities. Further, we introduce a novel and effective pre-training paradigm
that subtly alters the texture of selected texts within an image and trains the
model to identify these regions. This approach not only mitigates the scarcity
of high-quality training data but also enhances models' fine-grained perception
and open-set generalization abilities. Additionally, we present DAF, a novel
framework that improves open-set generalization by distinguishing between the
features of authentic and tampered text, rather than focusing solely on the
tampered text's features. Our extensive experiments validate the remarkable
efficacy of our methods. For example, our zero-shot performance can even beat
the previous state-of-the-art full-shot model by a large margin. Our dataset
and code will be open-source.",cs.CV,2024-07-31
Deformable 3D Shape Diffusion Model,,"The Gaussian diffusion model, initially designed for image generation, has
recently been adapted for 3D point cloud generation. However, these adaptations
have not fully considered the intrinsic geometric characteristics of 3D shapes,
thereby constraining the diffusion model's potential for 3D shape manipulation.
To address this limitation, we introduce a novel deformable 3D shape diffusion
model that facilitates comprehensive 3D shape manipulation, including point
cloud generation, mesh deformation, and facial animation. Our approach
innovatively incorporates a differential deformation kernel, which deconstructs
the generation of geometric structures into successive non-rigid deformation
stages. By leveraging a probabilistic diffusion model to simulate this
step-by-step process, our method provides a versatile and efficient solution
for a wide range of applications, spanning from graphics rendering to facial
expression animation. Empirical evidence highlights the effectiveness of our
approach, demonstrating state-of-the-art performance in point cloud generation
and competitive results in mesh deformation. Additionally, extensive visual
demonstrations reveal the significant potential of our approach for practical
applications. Our method presents a unique pathway for advancing 3D shape
manipulation and unlocking new opportunities in the realm of virtual reality.",cs.GR cs.AI,2024-07-31
Chat-like Asserts Prediction with the Support of Large Language Model,,"Unit testing is an essential component of software testing, with the assert
statements playing an important role in determining whether the tested function
operates as expected. Although research has explored automated test case
generation, generating meaningful assert statements remains an ongoing
challenge. While several studies have investigated assert statement generation
in Java, limited work addresses this task in popular dynamically-typed
programming languages like Python. In this paper, we introduce Chat-like
execution-based Asserts Prediction (\tool), a novel Large Language Model-based
approach for generating meaningful assert statements for Python projects. \tool
utilizes the persona, Chain-of-Thought, and one-shot learning techniques in the
prompt design, and conducts rounds of communication with LLM and Python
interpreter to generate meaningful assert statements. We also present a Python
assert statement dataset mined from GitHub. Our evaluation demonstrates that
\tool achieves 64.7\% accuracy for single assert statement generation and 62\%
for overall assert statement generation, outperforming the existing approaches.
We also analyze the mismatched assert statements, which may still share the
same functionality and discuss the potential help \tool could offer to the
automated Python unit test generation. The findings indicate that \tool has the
potential to benefit the SE community through more practical usage scenarios.",cs.SE,2024-07-31
ABCDE: Application-Based Cluster Diff Evals,,"This paper considers the problem of evaluating clusterings of very large
populations of items. Given two clusterings, namely a Baseline clustering and
an Experiment clustering, the tasks are twofold: 1) characterize their
differences, and 2) determine which clustering is better. ABCDE is a novel
evaluation technique for accomplishing that. It aims to be practical: it allows
items to have associated importance values that are application-specific, it is
frugal in its use of human judgements when determining which clustering is
better, and it can report metrics for arbitrary slices of items, thereby
facilitating understanding and debugging. The approach to measuring the delta
in the clustering quality is novel: instead of trying to construct an expensive
ground truth up front and evaluating the each clustering with respect to that,
where the ground truth must effectively pre-anticipate clustering changes,
ABCDE samples questions for judgement on the basis of the actual diffs between
the clusterings. ABCDE builds upon the pointwise metrics for clustering
evaluation, which make the ABCDE metrics intuitive and simple to understand.
The mathematical elegance of the pointwise metrics equip ABCDE with rigorous
yet practical ways to explore the clustering diffs and to estimate the quality
delta.",cs.IR,2024-07-31
"Analyzing the impact of semantic LoD3 building models on image-based
  vehicle localization",,"Numerous navigation applications rely on data from global navigation
satellite systems (GNSS), even though their accuracy is compromised in urban
areas, posing a significant challenge, particularly for precise autonomous car
localization. Extensive research has focused on enhancing localization accuracy
by integrating various sensor types to address this issue. This paper
introduces a novel approach for car localization, leveraging image features
that correspond with highly detailed semantic 3D building models. The core
concept involves augmenting positioning accuracy by incorporating prior
geometric and semantic knowledge into calculations. The work assesses outcomes
using Level of Detail 2 (LoD2) and Level of Detail 3 (LoD3) models, analyzing
whether facade-enriched models yield superior accuracy. This comprehensive
analysis encompasses diverse methods, including off-the-shelf feature matching
and deep learning, facilitating thorough discussion. Our experiments
corroborate that LoD3 enables detecting up to 69\% more features than using
LoD2 models. We believe that this study will contribute to the research of
enhancing positioning accuracy in GNSS-denied urban canyons. It also shows a
practical application of under-explored LoD3 building models on map-based car
positioning.",cs.CV cs.RO,2024-07-31
Transient anisotropic kernel for probabilistic learning on manifolds,,"PLoM (Probabilistic Learning on Manifolds) is a method introduced in 2016 for
handling small training datasets by projecting an It\^o equation from a
stochastic dissipative Hamiltonian dynamical system, acting as the MCMC
generator, for which the KDE-estimated probability measure with the training
dataset is the invariant measure. PLoM performs a projection on a reduced-order
vector basis related to the training dataset, using the diffusion maps (DMAPS)
basis constructed with a time-independent isotropic kernel. In this paper, we
propose a new ISDE projection vector basis built from a transient anisotropic
kernel, providing an alternative to the DMAPS basis to improve statistical
surrogates for stochastic manifolds with heterogeneous data. The construction
ensures that for times near the initial time, the DMAPS basis coincides with
the transient basis. For larger times, the differences between the two bases
are characterized by the angle of their spanned vector subspaces. The optimal
instant yielding the optimal transient basis is determined using an estimation
of mutual information from Information Theory, which is normalized by the
entropy estimation to account for the effects of the number of realizations
used in the estimations. Consequently, this new vector basis better represents
statistical dependencies in the learned probability measure for any dimension.
Three applications with varying levels of statistical complexity and data
heterogeneity validate the proposed theory, showing that the transient
anisotropic kernel improves the learned probability measure.",stat.ML cs.LG,2024-07-31
"A Plug-and-Play Method for Rare Human-Object Interactions Detection by
  Bridging Domain Gap",,"Human-object interactions (HOI) detection aims at capturing human-object
pairs in images and corresponding actions. It is an important step toward
high-level visual reasoning and scene understanding. However, due to the
natural bias from the real world, existing methods mostly struggle with rare
human-object pairs and lead to sub-optimal results. Recently, with the
development of the generative model, a straightforward approach is to construct
a more balanced dataset based on a group of supplementary samples.
Unfortunately, there is a significant domain gap between the generated data and
the original data, and simply merging the generated images into the original
dataset cannot significantly boost the performance. To alleviate the above
problem, we present a novel model-agnostic framework called
\textbf{C}ontext-\textbf{E}nhanced \textbf{F}eature \textbf{A}lignment (CEFA)
module, which can effectively align the generated data with the original data
at the feature level and bridge the domain gap. Specifically, CEFA consists of
a feature alignment module and a context enhancement module. On one hand,
considering the crucial role of human-object pairs information in HOI tasks,
the feature alignment module aligns the human-object pairs by aggregating
instance information. On the other hand, to mitigate the issue of losing
important context information caused by the traditional discriminator-style
alignment method, we employ a context-enhanced image reconstruction module to
improve the model's learning ability of contextual cues. Extensive experiments
have shown that our method can serve as a plug-and-play module to improve the
detection performance of HOI models on rare
categories\footnote{https://github.com/LijunZhang01/CEFA}.",cs.CV,2024-07-31
"MLLM Is a Strong Reranker: Advancing Multimodal Retrieval-augmented
  Generation via Knowledge-enhanced Reranking and Noise-injected Training",,"Multimodal Large Language Models (MLLMs) have demonstrated remarkable
capabilities in processing and generating content across multiple data
modalities, including text, images, audio, and video. However, a significant
drawback of MLLMs is their reliance on static training data, leading to
outdated information and limited contextual awareness. This static nature
hampers their ability to provide accurate, up-to-date responses, particularly
in dynamic or rapidly evolving contexts. Integrating Multimodal
Retrieval-augmented Generation (Multimodal RAG) offers a promising solution,
but the system would inevitably encounter the multi-granularity noisy
correspondence (MNC) problem, which involves two types of noise: coarse-grained
(query-caption) and fine-grained (query-image). This noise hinders accurate
retrieval and generation. In this work, we propose \textbf{RagLLaVA}, a novel
framework with knowledge-enhanced reranking and noise-injected training, to
address these limitations. We instruction-tune the MLLM with a simple yet
effective instruction template to induce its ranking ability and serve it as a
reranker to precisely filter the top-k retrieved images. For generation, we
inject visual noise during training at the data and token levels to enhance the
generator's robustness. Extensive experiments are conducted on the subsets of
two datasets that require retrieving and reasoning over images to answer a
given query. Our results demonstrate the superiority of RagLLaVA in retrieving
accurately and generating robustly. Code and models are available at
https://github.com/IDEA-FinAI/RagLLaVA.",cs.AI cs.CL cs.LG,2024-07-31
"QuestGen: Effectiveness of Question Generation Methods for Fact-Checking
  Applications",,"Verifying fact-checking claims poses a significant challenge, even for
humans. Recent approaches have demonstrated that decomposing claims into
relevant questions to gather evidence enhances the efficiency of the
fact-checking process. In this paper, we provide empirical evidence showing
that this question decomposition can be effectively automated. We demonstrate
that smaller generative models, fine-tuned for the question generation task
using data augmentation from various datasets, outperform large language models
by up to 8%. Surprisingly, in some cases, the evidence retrieved using
machine-generated questions proves to be significantly more effective for
fact-checking than that obtained from human-written questions. We also perform
manual evaluation of the decomposed questions to assess the quality of the
questions generated.",cs.CL,2024-07-31
"Improving Faithfulness of Large Language Models in Summarization via
  Sliding Generation and Self-Consistency",,"Despite large language models (LLMs) have demonstrated impressive performance
in various tasks, they are still suffering from the factual inconsistency
problem called hallucinations. For instance, LLMs occasionally generate content
that diverges from source article, and prefer to extract information that
appears at the beginning and end of the context, especially in long document
summarization. Inspired by these findings, we propose to improve the
faithfulness of LLMs in summarization by impelling them to process the entire
article more fairly and faithfully. We present a novel summary generation
strategy, namely SliSum, which exploits the ideas of sliding windows and
self-consistency. Specifically, SliSum divides the source article into
overlapping windows, and utilizes LLM to generate local summaries for the
content in the windows. Finally, SliSum aggregates all local summaries using
clustering and majority voting algorithm to produce more faithful summary of
entire article. Extensive experiments demonstrate that SliSum significantly
improves the faithfulness of diverse LLMs including LLaMA-2, Claude-2 and
GPT-3.5 in both short and long text summarization, while maintaining their
fluency and informativeness and without additional fine-tuning and resources.
We further conduct qualitative and quantitative studies to investigate why
SliSum works and impacts of hyperparameters in SliSum on performance.",cs.CL cs.AI,2024-07-31
"Accelerating Image Super-Resolution Networks with Pixel-Level
  Classification",,"In recent times, the need for effective super-resolution (SR) techniques has
surged, especially for large-scale images ranging 2K to 8K resolutions. For
DNN-based SISR, decomposing images into overlapping patches is typically
necessary due to computational constraints. In such patch-decomposing scheme,
one can allocate computational resources differently based on each patch's
difficulty to further improve efficiency while maintaining SR performance.
However, this approach has a limitation: computational resources is uniformly
allocated within a patch, leading to lower efficiency when the patch contain
pixels with varying levels of restoration difficulty. To address the issue, we
propose the Pixel-level Classifier for Single Image Super-Resolution (PCSR), a
novel method designed to distribute computational resources adaptively at the
pixel level. A PCSR model comprises a backbone, a pixel-level classifier, and a
set of pixel-level upsamplers with varying capacities. The pixel-level
classifier assigns each pixel to an appropriate upsampler based on its
restoration difficulty, thereby optimizing computational resource usage. Our
method allows for performance and computational cost balance during inference
without re-training. Our experiments demonstrate PCSR's advantage over existing
patch-distributing methods in PSNR-FLOP trade-offs across different backbone
models and benchmarks. The code is available at
https://github.com/3587jjh/PCSR.",cs.CV,2024-07-31
"Navigating Beyond Instructions: Vision-and-Language Navigation in
  Obstructed Environments",,"Real-world navigation often involves dealing with unexpected obstructions
such as closed doors, moved objects, and unpredictable entities. However,
mainstream Vision-and-Language Navigation (VLN) tasks typically assume
instructions perfectly align with the fixed and predefined navigation graphs
without any obstructions. This assumption overlooks potential discrepancies in
actual navigation graphs and given instructions, which can cause major failures
for both indoor and outdoor agents. To address this issue, we integrate diverse
obstructions into the R2R dataset by modifying both the navigation graphs and
visual observations, introducing an innovative dataset and task, R2R with
UNexpected Obstructions (R2R-UNO). R2R-UNO contains various types and numbers
of path obstructions to generate instruction-reality mismatches for VLN
research. Experiments on R2R-UNO reveal that state-of-the-art VLN methods
inevitably encounter significant challenges when facing such mismatches,
indicating that they rigidly follow instructions rather than navigate
adaptively. Therefore, we propose a novel method called ObVLN (Obstructed VLN),
which includes a curriculum training strategy and virtual graph construction to
help agents effectively adapt to obstructed environments. Empirical results
show that ObVLN not only maintains robust performance in unobstructed scenarios
but also achieves a substantial performance advantage with unexpected
obstructions.",cs.RO cs.CL cs.CV,2024-07-31
"TinyChirp: Bird Song Recognition Using TinyML Models on Low-power
  Wireless Acoustic Sensors",,"Monitoring biodiversity at scale is challenging. Detecting and identifying
species in fine grained taxonomies requires highly accurate machine learning
(ML) methods. Training such models requires large high quality data sets. And
deploying these models to low power devices requires novel compression
techniques and model architectures. While species classification methods have
profited from novel data sets and advances in ML methods, in particular neural
networks, deploying these state of the art models to low power devices remains
difficult. Here we present a comprehensive empirical comparison of various
tinyML neural network architectures and compression techniques for species
classification. We focus on the example of bird song detection, more concretely
a data set curated for studying the corn bunting bird species. The data set is
released along with all code and experiments of this study. In our experiments
we compare predictive performance, memory and time complexity of classical
spectrogram based methods and recent approaches operating on raw audio signal.
Our results indicate that individual bird species can be robustly detected with
relatively simple architectures that can be readily deployed to low power
devices.",cs.LG cs.AI cs.SD eess.AS eess.SP,2024-07-31
RF Power Transmission for Self-sustaining Miniaturized IoT Devices,,"Radio Frequency (RF) wireless power transfer is a promising technology that
has the potential to constantly power small Internet of Things (IoT) devices,
enabling even battery-less systems and reducing their maintenance requirements.
However, to achieve this ambitious goal, carefully designed RF energy
harvesting (EH) systems are needed to minimize the conversion losses and the
conversion efficiency of the limited power. For intelligent internet of things
sensors and devices, which often have non-constant power requirements, an
additional power management stage with energy storage is needed to temporarily
provide a higher power output than the power being harvested. This paper
proposes an RF wireless power energy conversion system for miniaturized IoT
composed of an impedance matching network, a rectifier, and power management
with energy storage. The proposed sub-system has been experimentally validated
and achieved an overall power conversion efficiency (PCE) of over 30 % for an
input power of -10 dBm and a peak efficiency of 57 % at 3 dBm.",eess.SY cs.SY eess.SP,2024-07-31
"KemenkeuGPT: Leveraging a Large Language Model on Indonesia's Government
  Financial Data and Regulations to Enhance Decision Making",,"Data is crucial for evidence-based policymaking and enhancing public
services, including those at the Ministry of Finance of the Republic of
Indonesia. However, the complexity and dynamic nature of governmental financial
data and regulations can hinder decision-making. This study investigates the
potential of Large Language Models (LLMs) to address these challenges, focusing
on Indonesia's financial data and regulations. While LLMs are effective in the
financial sector, their use in the public sector in Indonesia is unexplored.
This study undertakes an iterative process to develop KemenkeuGPT using the
LangChain with Retrieval-Augmented Generation (RAG), prompt engineering and
fine-tuning. The dataset from 2003 to 2023 was collected from the Ministry of
Finance, Statistics Indonesia and the International Monetary Fund (IMF).
Surveys and interviews with Ministry officials informed, enhanced and
fine-tuned the model. We evaluated the model using human feedback, LLM-based
evaluation and benchmarking. The model's accuracy improved from 35% to 61%,
with correctness increasing from 48% to 64%. The Retrieval-Augmented Generation
Assessment (RAGAS) framework showed that KemenkeuGPT achieved 44% correctness
with 73% faithfulness, 40% precision and 60% recall, outperforming several
other base models. An interview with an expert from the Ministry of Finance
indicated that KemenkeuGPT has the potential to become an essential tool for
decision-making. These results are expected to improve with continuous human
feedback.",cs.AI,2024-07-31
"Multi-agent Assessment with QoS Enhancement for HD Map Updates in a
  Vehicular Network",,"Reinforcement Learning (RL) algorithms have been used to address the
challenging problems in the offloading process of vehicular ad hoc networks
(VANET). More recently, they have been utilized to improve the dissemination of
high-definition (HD) Maps. Nevertheless, implementing solutions such as deep
Q-learning (DQN) and Actor-critic at the autonomous vehicle (AV) may lead to an
increase in the computational load, causing a heavy burden on the computational
devices and higher costs. Moreover, their implementation might raise
compatibility issues between technologies due to the required modifications to
the standards. Therefore, in this paper, we assess the scalability of an
application utilizing a Q-learning single-agent solution in a distributed
multi-agent environment. This application improves the network performance by
taking advantage of a smaller state, and action space whilst using a
multi-agent approach. The proposed solution is extensively evaluated with
different test cases involving reward function considering individual or
overall network performance, number of agents, and centralized and distributed
learning comparison. The experimental results demonstrate that the time
latencies of our proposed solution conducted in voice, video, HD Map, and
best-effort cases have significant improvements, with 40.4%, 36%, 43%, and 12%
respectively, compared to the performances with the single-agent approach.",cs.AI cs.LG,2024-07-31
"MarvelOVD: Marrying Object Recognition and Vision-Language Models for
  Robust Open-Vocabulary Object Detection",,"Learning from pseudo-labels that generated with VLMs~(Vision Language Models)
has been shown as a promising solution to assist open vocabulary detection
(OVD) in recent studies. However, due to the domain gap between VLM and
vision-detection tasks, pseudo-labels produced by the VLMs are prone to be
noisy, while the training design of the detector further amplifies the bias. In
this work, we investigate the root cause of VLMs' biased prediction under the
OVD context. Our observations lead to a simple yet effective paradigm, coded
MarvelOVD, that generates significantly better training targets and optimizes
the learning procedure in an online manner by marrying the capability of the
detector with the vision-language model. Our key insight is that the detector
itself can act as a strong auxiliary guidance to accommodate VLM's inability of
understanding both the ``background'' and the context of a proposal within the
image. Based on it, we greatly purify the noisy pseudo-labels via Online Mining
and propose Adaptive Reweighting to effectively suppress the biased training
boxes that are not well aligned with the target object. In addition, we also
identify a neglected ``base-novel-conflict'' problem and introduce stratified
label assignments to prevent it. Extensive experiments on COCO and LVIS
datasets demonstrate that our method outperforms the other state-of-the-arts by
significant margins. Codes are available at https://github.com/wkfdb/MarvelOVD",cs.CV,2024-07-31
"Deep Learning-Based Longitudinal Prediction of Childhood Myopia
  Progression Using Fundus Image Sequences and Baseline Refraction Data",,"Childhood myopia constitutes a significant global health concern. It exhibits
an escalating prevalence and has the potential to evolve into severe,
irreversible conditions that detrimentally impact familial well-being and
create substantial economic costs. Contemporary research underscores the
importance of precisely predicting myopia progression to enable timely and
effective interventions, thereby averting severe visual impairment in children.
Such predictions predominantly rely on subjective clinical assessments, which
are inherently biased and resource-intensive, thus hindering their widespread
application. In this study, we introduce a novel, high-accuracy method for
quantitatively predicting the myopic trajectory and myopia risk in children
using only fundus images and baseline refraction data. This approach was
validated through a six-year longitudinal study of 3,408 children in Henan,
utilizing 16,211 fundus images and corresponding refractive data. Our method
based on deep learning demonstrated predictive accuracy with an error margin of
0.311D per year and AUC scores of 0.944 and 0.995 for forecasting the risks of
developing myopia and high myopia, respectively. These findings confirm the
utility of our model in supporting early intervention strategies and in
significantly reducing healthcare costs, particularly by obviating the need for
additional metadata and repeated consultations. Furthermore, our method was
designed to rely only on fundus images and refractive error data, without the
need for meta data or multiple inquiries from doctors, strongly reducing the
associated medical costs and facilitating large-scale screening. Our model can
even provide good predictions based on only a single time measurement.
Consequently, the proposed method is an important means to reduce medical
inequities caused by economic disparities.",cs.CV cs.AI,2024-07-31
An Invertible State Space for Process Trees,,"Process models are, like event data, first-class citizens in most process
mining approaches. Several process modeling formalisms have been proposed and
used, e.g., Petri nets, BPMN, and process trees. Despite their frequent use,
little research addresses the formal properties of process trees and the
corresponding potential to improve the efficiency of solving common
computational problems. Therefore, in this paper, we propose an invertible
state space definition for process trees and demonstrate that the corresponding
state space graph is isomorphic to the state space graph of the tree's inverse.
Our result supports the development of novel, time-efficient, decomposition
strategies for applications of process trees. Our experiments confirm that our
state space definition allows for the adoption of bidirectional state space
search, which significantly improves the overall performance of state space
searches.",cs.DS cs.AI,2024-07-31
Fine-gained Zero-shot Video Sampling,,"Incorporating a temporal dimension into pretrained image diffusion models for
video generation is a prevalent approach. However, this method is
computationally demanding and necessitates large-scale video datasets. More
critically, the heterogeneity between image and video datasets often results in
catastrophic forgetting of the image expertise. Recent attempts to directly
extract video snippets from image diffusion models have somewhat mitigated
these problems. Nevertheless, these methods can only generate brief video clips
with simple movements and fail to capture fine-grained motion or non-grid
deformation. In this paper, we propose a novel Zero-Shot video Sampling
algorithm, denoted as $\mathcal{ZS}^2$, capable of directly sampling
high-quality video clips from existing image synthesis methods, such as Stable
Diffusion, without any training or optimization. Specifically, $\mathcal{ZS}^2$
utilizes the dependency noise model and temporal momentum attention to ensure
content consistency and animation coherence, respectively. This ability enables
it to excel in related tasks, such as conditional and context-specialized video
generation and instruction-guided video editing. Experimental results
demonstrate that $\mathcal{ZS}^2$ achieves state-of-the-art performance in
zero-shot video generation, occasionally outperforming recent supervised
methods.
  Homepage: \url{https://densechen.github.io/zss/}.",cs.CV cs.AI,2024-07-31
"On the Problem of Text-To-Speech Model Selection for Synthetic Data
  Generation in Automatic Speech Recognition",,"The rapid development of neural text-to-speech (TTS) systems enabled its
usage in other areas of natural language processing such as automatic speech
recognition (ASR) or spoken language translation (SLT). Due to the large number
of different TTS architectures and their extensions, selecting which TTS
systems to use for synthetic data creation is not an easy task. We use the
comparison of five different TTS decoder architectures in the scope of
synthetic data generation to show the impact on CTC-based speech recognition
training. We compare the recognition results to computable metrics like NISQA
MOS and intelligibility, finding that there are no clear relations to the ASR
performance. We also observe that for data generation auto-regressive decoding
performs better than non-autoregressive decoding, and propose an approach to
quantify TTS generalization capabilities.",cs.CL cs.LG cs.SD eess.AS,2024-07-31
"Designing Harvesting Tools for Olive Trees: Methodological Reflections
  on Exploring and Incorporating Plant Perspectives in the Early Stages of
  Design Process",,"Sustainability-focused design research is witnessing a change in approach
with the emergence of More-than-human Design (MTHD), which challenges
human-centered thinking by incorporating nonhuman perspectives into the design
process. However, implementing MTHD presents challenges for design researchers
and practitioners, such as understanding non-verbal species. Despite the
techniques developed to facilitate such an understanding (e.g. contact zone),
the growing literature on MTHD lacks studies reflecting on how these techniques
are utilized in the design process. In this paper, we present a case study on
designing olive harvesting tools from a MTH lens, where designers used contact
zone, plant interviews, plant persona, and experience map to explore the
perspectives of olive trees and incorporate them into ideas in collaboration
with farmers and agricultural engineers. The results indicate the significance
of reconsidering decentralization in MTHD from the standpoint of entanglements
among techniques and incorporating various knowledge types to manage tensions
arising from perspective shifts.",cs.HC,2024-07-31
"Breaking the Hourglass Phenomenon of Residual Quantization: Enhancing
  the Upper Bound of Generative Retrieval",,"Generative retrieval (GR) has emerged as a transformative paradigm in search
and recommender systems, leveraging numeric-based identifier representations to
enhance efficiency and generalization. Notably, methods like TIGER employing
Residual Quantization-based Semantic Identifiers (RQ-SID), have shown
significant promise in e-commerce scenarios by effectively managing item IDs.
However, a critical issue termed the ""\textbf{Hourglass}"" phenomenon, occurs in
RQ-SID, where intermediate codebook tokens become overly concentrated,
hindering the full utilization of generative retrieval methods. This paper
analyses and addresses this problem by identifying data sparsity and
long-tailed distribution as the primary causes. Through comprehensive
experiments and detailed ablation studies, we analyze the impact of these
factors on codebook utilization and data distribution. Our findings reveal that
the ""Hourglass"" phenomenon substantially impacts the performance of RQ-SID in
generative retrieval. We propose effective solutions to mitigate this issue,
thereby significantly enhancing the effectiveness of generative retrieval in
real-world E-commerce applications.",cs.IR cs.AI,2024-07-31
"Maverick: Efficient and Accurate Coreference Resolution Defying Recent
  Trends",,"Large autoregressive generative models have emerged as the cornerstone for
achieving the highest performance across several Natural Language Processing
tasks. However, the urge to attain superior results has, at times, led to the
premature replacement of carefully designed task-specific approaches without
exhaustive experimentation. The Coreference Resolution task is no exception;
all recent state-of-the-art solutions adopt large generative autoregressive
models that outperform encoder-based discriminative systems. In this work,we
challenge this recent trend by introducing Maverick, a carefully designed - yet
simple - pipeline, which enables running a state-of-the-art Coreference
Resolution system within the constraints of an academic budget, outperforming
models with up to 13 billion parameters with as few as 500 million parameters.
Maverick achieves state-of-the-art performance on the CoNLL-2012 benchmark,
training with up to 0.006x the memory resources and obtaining a 170x faster
inference compared to previous state-of-the-art systems. We extensively
validate the robustness of the Maverick framework with an array of diverse
experiments, reporting improvements over prior systems in data-scarce,
long-document, and out-of-domain settings. We release our code and models for
research purposes at https://github.com/SapienzaNLP/maverick-coref.",cs.CL cs.AI,2024-07-31
"Explainable and Controllable Motion Curve Guided Cardiac Ultrasound
  Video Generation",,"Echocardiography video is a primary modality for diagnosing heart diseases,
but the limited data poses challenges for both clinical teaching and machine
learning training. Recently, video generative models have emerged as a
promising strategy to alleviate this issue. However, previous methods often
relied on holistic conditions during generation, hindering the flexible
movement control over specific cardiac structures. In this context, we propose
an explainable and controllable method for echocardiography video generation,
taking an initial frame and a motion curve as guidance. Our contributions are
three-fold. First, we extract motion information from each heart substructure
to construct motion curves, enabling the diffusion model to synthesize
customized echocardiography videos by modifying these curves. Second, we
propose the structure-to-motion alignment module, which can map semantic
features onto motion curves across cardiac structures. Third, The
position-aware attention mechanism is designed to enhance video consistency
utilizing Gaussian masks with structural position information. Extensive
experiments on three echocardiography datasets show that our method outperforms
others regarding fidelity and consistency. The full code will be released at
https://github.com/mlmi-2024-72/ECM.",eess.IV cs.AI cs.CV cs.LG,2024-07-31
Generative Expressive Conversational Speech Synthesis,,"Conversational Speech Synthesis (CSS) aims to express a target utterance with
the proper speaking style in a user-agent conversation setting. Existing CSS
methods employ effective multi-modal context modeling techniques to achieve
empathy understanding and expression. However, they often need to design
complex network architectures and meticulously optimize the modules within
them. In addition, due to the limitations of small-scale datasets containing
scripted recording styles, they often fail to simulate real natural
conversational styles. To address the above issues, we propose a novel
generative expressive CSS system, termed GPT-Talker.We transform the multimodal
information of the multi-turn dialogue history into discrete token sequences
and seamlessly integrate them to form a comprehensive user-agent dialogue
context. Leveraging the power of GPT, we predict the token sequence, that
includes both semantic and style knowledge, of response for the agent. After
that, the expressive conversational speech is synthesized by the
conversation-enriched VITS to deliver feedback to the user.Furthermore, we
propose a large-scale Natural CSS Dataset called NCSSD, that includes both
naturally recorded conversational speech in improvised styles and dialogues
extracted from TV shows. It encompasses both Chinese and English languages,
with a total duration of 236 hours.We conducted comprehensive experiments on
the reliability of the NCSSD and the effectiveness of our GPT-Talker. Both
subjective and objective evaluations demonstrate that our model outperforms
other state-of-the-art CSS systems significantly in terms of naturalness and
expressiveness. The Code, Dataset, and Pre-trained Model are available at:
https://github.com/AI-S2-Lab/GPT-Talker.",cs.CL cs.SD eess.AS,2024-07-31
